./data/wildcam_denoised/train_43
== Found 858 items 
== Found 2 classes
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/train_46
== Found 753 items 
== Found 2 classes
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/test
== Found 522 items 
== Found 2 classes
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================ERM========================================
{'n_restarts': 5, 'steps': 121, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}, 'optimizer_args': {'lr': 0.001, 'l2_regularizer_weight': 0.001, 'penalty_anneal_iters': 0, 'penalty_weight': 0.0}}

Restart 0
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
20              0.36018         0.84049         0.01707         0.65655         0.48000         0.73973         0.42857      
30              0.32130         0.84765         0.00958         0.65636         0.47591         0.73913         0.40476      
40              0.29940         0.85685         0.00674         0.65686         0.49515         0.75845         0.41534      
50              0.28127         0.87028         0.00650         0.70628         0.37803         0.72308         0.24868      
60              0.26966         0.87284         0.00552         0.69500         0.41485         0.74497         0.29365      
70              0.25726         0.88936         0.00583         0.75471         0.36470         0.74038         0.20370      
80              0.25324         0.89273         0.00557         0.76688         0.34864         0.73832         0.20899      
90              0.24090         0.89817         0.00583         0.75507         0.36212         0.74528         0.20899      
100             0.24005         0.90434         0.00624         0.78643         0.35136         0.75000         0.16667      
110             0.23069         0.90674         0.00582         0.77407         0.35485         0.74026         0.15079      
120             0.22308         0.91311         0.00649         0.78849         0.35045         0.76471         0.17196      

Restart 3
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.77014         0.41664         0.01233         0.73993         0.42076         0.71345         0.32275      
10              0.49794         0.68371         0.00240         1.01037         0.26364         0.00000         0.00000      
20              0.39065         0.84313         0.02242         0.68701         0.46818         0.89474         0.31481      
30              0.33549         0.85169         0.01145         0.80377         0.29697         0.95455         0.05556      
40              0.30671         0.85821         0.00955         0.69118         0.44136         0.88710         0.29101      
50              0.28770         0.86591         0.00783         0.76090         0.35545         0.94444         0.13492      
60              0.27782         0.87569         0.00637         0.75884         0.36470         0.90323         0.14815      
70              0.27115         0.88190         0.00607         0.77752         0.34379         0.90196         0.12169      
80              0.26310         0.88708         0.00633         0.82955         0.31955         0.96875         0.08201      
90              0.25133         0.89701         0.00645         0.79680         0.35227         0.93333         0.11111      
100             0.23872         0.89944         0.00691         0.86119         0.30773         0.96875         0.08201      
