./data/wildcam_denoised/train_43
== Found 858 items 
== Found 2 classes
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/train_46
== Found 753 items 
== Found 2 classes
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/test
== Found 522 items 
== Found 2 classes
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================IRM========================================
{'n_restarts': 5, 'steps': 121, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}, 'optimizer_args': {'lr': 0.001, 'l2_regularizer_weight': 0.001, 'penalty_anneal_iters': 40, 'penalty_weight': 10000.0}}

Restart 0
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
70              0.31299         0.85294         0.00396         0.59488         0.66697         0.82428         0.68254      
80              0.31454         0.85752         0.00210         0.52549         0.78894         0.84293         0.85185      
90              0.33164         0.85114         0.00137         0.50592         0.80636         0.84500         0.89418      
100             0.33392         0.84957         0.00206         0.49313         0.81985         0.84539         0.89683      
110             0.33262         0.85043         0.00173         0.52783         0.78955         0.84733         0.88095      
120             0.32581         0.85013         0.00243         0.55593         0.74197         0.83696         0.81481      

Restart 2
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.68354         0.56027         0.00036         0.76839         0.29106         0.55618         0.26190      
10              0.45686         0.71761         0.00968         0.76576         0.29530         0.64179         0.11376      
20              0.36461         0.81921         0.01235         0.71850         0.36576         0.71739         0.17460      
30              0.32438         0.83935         0.00871         0.66251         0.46167         0.74479         0.37831      
40              0.30207         0.85187         0.00571         0.64449         0.51515         0.75983         0.46032      
50              0.28921         0.86064         0.00511         0.67794         0.43152         0.74850         0.33069      
60              0.28712         0.85942         0.00373         0.68062         0.43318         0.74706         0.33598      
70              0.28430         0.86687         0.00328         0.68967         0.44318         0.75281         0.35450      
80              0.29041         0.85785         0.00269         0.65703         0.51242         0.77119         0.48148      
90              0.29091         0.86024         0.00172         0.60005         0.60864         0.78378         0.61376      
100             0.30046         0.85759         0.00215         0.57720         0.69455         0.81214         0.74339      
110             0.29921         0.85762         0.00205         0.55420         0.73576         0.81408         0.76455      
120             0.30072         0.85294         0.00159         0.57015         0.68697         0.81159         0.74074      

Restart 3
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.77014         0.41664         0.01233         0.73993         0.42076         0.71345         0.32275      
10              0.50340         0.68309         0.00254         0.99198         0.26530         1.00000         0.00265      
20              0.39765         0.83078         0.01902         0.77469         0.31455         0.96552         0.07407      
30              0.34992         0.82967         0.00951         0.85256         0.27015         0.92308         0.03175      
40              0.31512         0.85426         0.00957         0.71173         0.41636         0.92632         0.23280      
50              0.30176         0.85508         0.00769         0.68903         0.44136         0.88710         0.29101      
60              0.30162         0.85668         0.00526         0.66175         0.49576         0.86875         0.36772      
70              0.30523         0.85203         0.00449         0.63369         0.54742         0.86341         0.46825      
80              0.31269         0.84951         0.00393         0.59046         0.64773         0.84946         0.62698      
90              0.32310         0.84647         0.00176         0.52499         0.77030         0.84416         0.85979      
100             0.32483         0.84776         0.00226         0.51887         0.79970         0.84343         0.88360      
